CategoryID,Name,CategoryPath,ParentCategory,SortOrder,ShortDescription,LongDescription,ImagePath,ImageAltText,FriendlyURL,PageTitle,MetaKeywords,MetaDescription,ChildCategoryCount,ProductCount,Hidden,NewCategory,Delete
1,Appetizers,Appetizers,,0,,,,,~/gourmet-appetizers-delivered.aspx,Gourmet Appetizer Delivery - Chef Prepared Appetizers Delivered to Your Home by The Perfect Gourmet,"prepared gourmet appetizer delivery, prepared gourmet appetizers delivered, gourmet appetizer delivery nationwide, gourmet appetizers shipped, appetizers delivered to your home, mail order gourmet appetizer, gourmet dinners, gourmet entrees, gourmet appetizers, gourmet desserts, prepared meals, precooked meals, pre cooked meals, online, mail order, shipped, nationwide, gifts, gift certificates, caribbean shrimp skewers,  chicken and vegetable potstickers, franks in a blanket, southwest egg rolls","ThePerfectGourmet.com is America’s Best Choice for prepared Gourmet appetizers shipped and delivered to your home with fast, guaranteed fresh delivery nationwide by mail. Click here to order delicious and healthy precooked gourmet appetizers for any occasion!",0,50,False,,False
2,Entrées,Entrées,,0,,,,,~/gourmet-entrees-delivered.aspx,Gourmet Meal Delivery - Chef Prepared Dinner Entrees Delivered to Your Home by The Perfect Gourmet,"prepared gourmet meal delivery, prepared gourmet meal delivered, gourmet meal delivery nationwide, gourmet meals shipped, meals delivered to your home, prepared gourmet dinner delivery, prepared gourmet dinner delivered, mail order gourmet dinners, gourmet entrees, gourmet appetizers, gourmet desserts, prepared meals, precooked meals,online, mail order, shipped, nationwide, gifts, gift certificates, jumbo lump crab cakes, shrimp alfredo, almond encrusted flounder, braised beef, chicken and vegetable potstickers, chicken cordon bleu casserole, crab wellington, gourmet salmon burgers","theperfectgourmet.com is America's Best Choice for prepared Gourmet Meals and Dinner Entrees shipped and delivered to your home with fast, guaranteed fresh delivery nationwide by mail. Click here to order delicious and healthy precooked gourmet dinners for any occasion! ",0,68,False,,False
4,Desserts,Desserts,,0,,,,,~/gourmet-desserts-delivered.aspx,Gourmet Dessert Delivery - Chef Prepared Desserts Delivered to Your Home by The Perfect Gourmet,"prepared gourmet dessert delivery, prepared gourmet, desserts delivered, gourmet dessert delivery nationwide, gourmet desserts shipped, desserts delivered to your home, mail order gourmet desserts, gourmet dinners, gourmet entrees, gourmet appetizers, gourmet desserts, prepared meals, precooked meals, pre cooked meals, online, mail order, shipped, nationwide, gifts, gift certificates, apple cinnamon bread pudding, chocolate cread pudding, coconut fudge macaroons, peanut butter fudge gourmet cookies.","theperfectgourmet.com is America's Best Choice for prepared Gourmet Desserts shipped and delivered to your home with fast, guaranteed fresh delivery nationwide by mail. Click here to order delicious and healthy precooked gourmet desserts for any occasion!",0,10,False,,False
5,New Items,New Items,,0,,,,,~/new-items.aspx,"New Items from The Perfect Gourmet - Chef Prepared, Flash Frozen and Delivered to your Home from The Perfect Gourmet","new, items, products, gourmet, perfect, appetizers, entrees, dinner, desserts, party, frozen, delivery, delivered, nationwide","Check out new items from The Perfect Gourmet, America’s Best Choice for chef prepared gourmet foods that are perfect for parties, intimate dinners, or just a quick and easy meal for yourself! Our food is shipped in dry ice and delivered right to your door.",0,18,False,,False
6,Sale Products,Sale Products,,0,,,,,~/gourmet-food-sales.aspx,,"Gourmet Appetizers, Gourment Entrees, Gourmet Desserts, Prepared Meals, Prepared Food, Corporate Gifts, Beef Wellington, Frozen Seafood, Southwest Tilapia, Grilled Salmon","Chef Prepared Gourmet Appetizers, Entrees and Desserts. The Perfect Gourmet brings you award-winning, prepared foods that go from freezer to table in just minutes. Each of our appetizers, entrées and desserts is carefully crafted with only the finest and freshest ingredients, then flash frozen at preparation to capture even the most delicate, exotic flavors.",0,8,False,,False
8,Gift Certificates,Gift Certificates,,0,,,,,~/gourmet-meals-delivered.aspx,,,,0,1,False,,False
9,Sides,Sides,,0,,,,,~/sides.aspx,,,,0,10,False,,False
